时间,成交价,手数,买卖盘性质
10:00:48,45.41,80,卖盘
10:00:51,45.41,19,买盘
10:00:54,45.4,162,卖盘
10:00:57,45.39,43,卖盘
10:01:00,45.39,14,卖盘
10:01:03,45.38,41,卖盘
10:01:06,45.37,8,卖盘
10:01:09,45.36,46,卖盘
10:01:12,45.36,65,卖盘
10:01:15,45.37,14,买盘
10:01:18,45.47,1354,买盘
10:01:21,45.46,142,卖盘
10:01:24,45.44,12,卖盘
10:01:27,45.45,24,买盘
10:01:30,45.44,56,卖盘
10:01:33,45.46,45,买盘
10:01:36,45.49,25,买盘
10:01:39,45.47,93,卖盘
10:01:42,45.47,5,卖盘
10:01:45,45.49,18,买盘
10:01:48,45.48,1,卖盘
10:01:51,45.48,167,卖盘
10:01:54,45.44,119,卖盘
10:01:57,45.44,17,买盘
10:02:00,45.44,6,买盘
10:02:03,45.38,46,卖盘
10:02:06,45.38,5,卖盘
10:02:09,45.37,115,卖盘
10:02:12,45.39,21,买盘
10:02:15,45.38,141,卖盘
10:02:18,45.38,71,买盘
10:02:21,45.39,25,买盘
10:02:24,45.4,7,买盘
10:02:27,45.39,30,卖盘
10:02:30,45.38,20,卖盘
10:02:33,45.38,167,卖盘
10:02:36,45.37,133,卖盘
10:02:39,45.36,90,卖盘
10:02:42,45.36,42,卖盘
10:02:45,45.36,71,卖盘
10:02:48,45.37,40,卖盘
10:02:51,45.36,34,卖盘
10:02:54,45.36,94,卖盘
10:02:57,45.34,379,卖盘
10:03:00,45.34,4,买盘
10:03:03,45.34,104,买盘
10:03:06,45.34,109,买盘
10:03:09,45.32,154,卖盘
10:03:12,45.35,235,买盘
10:03:15,45.35,61,买盘
10:03:18,45.35,71,买盘
10:03:21,45.39,866,买盘
10:03:24,45.4,71,买盘
10:03:27,45.38,48,卖盘
10:03:30,45.38,20,买盘
10:03:33,45.39,76,买盘
10:03:36,45.4,128,买盘
10:03:39,45.37,141,卖盘
10:03:42,45.45,114,买盘
10:03:45,45.39,21,卖盘
10:03:48,45.4,7,卖盘
10:03:51,45.39,260,卖盘
10:03:54,45.39,45,买盘
10:03:57,45.4,152,买盘
10:04:00,45.39,24,卖盘
10:04:03,45.4,239,买盘
10:04:06,45.37,163,卖盘
10:04:09,45.39,20,买盘
10:04:12,45.39,14,买盘
10:04:15,45.39,35,买盘
10:04:18,45.37,24,卖盘
10:04:21,45.35,92,卖盘
10:04:24,45.34,65,卖盘
10:04:27,45.35,68,买盘
10:04:30,45.36,122,买盘
10:04:33,45.34,30,卖盘
10:04:36,45.32,44,卖盘
10:04:39,45.32,113,买盘
